idx,preco
0,100.0
1,100.51729345963281
2,101.13257395004825
3,101.68836304888605
4,102.21085051491052
5,102.24664494918542
6,102.25601551227464
7,102.44996085104493
8,102.39091843898602
9,102.34910049158371
10,102.51442811704521
11,102.77535732401999
12,102.44023799272055
13,102.54733168844247
14,102.44441846544126
15,102.3757748794842
16,102.53897900133073
17,102.30725078029816
18,101.95077721335238
19,101.94753968803218
20,102.24146042507505
21,102.45979972305443
22,102.50662869482575
23,102.78096768449001
24,102.63322545387422
25,102.64927157374592
26,102.74591068476293
27,103.0422167444339
28,103.09306941733533
29,102.96528249654894
30,102.6604059417029
31,102.72974661167932
32,102.68541455256604
33,102.79034519881263
34,103.08038215735384
35,103.4303799916161
36,103.4635889853061
37,103.22748732679263
38,103.49890511774616
39,103.26135322709953
40,103.25230622692092
41,103.34037391705462
42,102.97070412002606
43,102.88656042275106
44,103.05300968041186
45,103.013761029819
46,103.01410651207216
47,103.01501233234639
48,103.01536991817929
49,102.77425396568766
50,102.85711677833228
51,102.60652889684249
52,102.48287747765521
53,102.26626984875516
54,102.09429291889202
55,101.95409421398867
56,102.02074856466795
57,102.00962247814546
58,101.78501470714264
59,101.51408526695188
60,101.66228782050764
61,101.35921213285705
62,101.3903781307554
63,101.6111041718986
64,101.703890113947
65,101.66821073008433
66,101.67264083462724
67,101.61301958287373
68,101.32060036601193
69,101.19695334807116
70,100.84737935236735
71,100.63928233438236
72,100.45932283566745
73,100.36482884700825
74,100.38561811613924
75,100.41370135335809
76,100.28437385172359
77,100.25915361797465
78,100.01328393468812
79,99.97867940669474
80,100.37262974096484
81,100.30847424141844
82,100.60321903477765
83,100.6432145977369
84,100.0790675244829
85,100.10305505403055
86,100.28610585896989
87,99.9601699257682
88,99.8026847887499
89,99.89271396983018
90,99.92626361532416
91,100.21400619653305
92,100.2114487826094
93,100.13790953727232
94,100.20710823392407
95,100.21864695585684
96,100.17726386607875
97,100.46154532085768
98,100.7821143618866
99,100.9739602373993
100,100.95125665951747
101,100.7793345755815
102,100.6247823506564
103,100.92413765785616
104,100.77085842864629
105,100.84223802270087
106,100.48299061799837
107,100.733032622412
108,100.78177280611271
109,100.88765489702656
110,100.85155944501894
111,101.0733405365719
112,100.94952552444086
113,101.34163513270676
114,101.29389694579577
115,101.23867131977302
116,101.09003099733194
117,101.5376761012463
118,101.70333002050585
119,101.51268081634186
120,101.86166905702464
121,102.14646404038082
122,101.95160530975701
123,102.16554129199335
124,102.24224280271255
125,101.78282240853413
126,101.71273238348452
127,101.99329287718064
128,102.16174674590738
129,101.95208537328273
130,102.08384256257428
131,101.96203696709911
132,101.95756029793444
133,101.79451974744737
134,101.4113492071306
135,101.36229349117882
136,100.96936501644026
137,101.38902613587288
138,101.67859280536798
139,102.00165065616112
140,102.065336280333
141,101.89108515102649
142,101.77510391176614
143,101.78990970855695
144,102.13628509287071
145,102.12044874353458
146,102.18513905021223
147,102.25301143662999
148,102.40818065740531
149,102.39313835630898
150,102.31216391283296
151,102.44708772229433
152,102.21309215044091
153,102.04559121704395
154,102.03821014268262
155,102.04304799033147
156,102.15206725376153
157,102.02204116352422
158,102.19741641856795
159,102.44457536475727
160,102.21260785690876
161,102.16154634987907
162,102.15008652378606
163,102.26411281879939
164,102.30461281681566
165,102.26333134161068
166,102.30671042221867
167,102.49021676124467
168,102.37302775006629
169,102.53679516760407
170,102.28992127981975
171,102.48276811820455
172,102.3231778536842
173,102.61066738967564
174,102.50424115541811
175,102.47154946497176
176,102.36198323152894
177,102.53591894054802
178,102.54834348876587
179,102.52798733836794
180,102.34710106721104
181,102.43449725383691
182,102.29041846761201
183,102.53430894516376
184,102.5985085439381
185,102.85520705000035
186,102.53577280946931
187,102.75046109562538
188,102.63894779683082
189,102.39357220891159
190,102.32520406020187
191,102.17521773087822
192,102.28092950796703
193,102.73976921315366
194,102.62751193552687
195,102.77726379776419
196,102.927291999471
197,103.46654690115813
198,103.56310604396069
199,103.43498022824885
200,103.27878069745353
201,103.37349422067561
202,103.4156922249894
203,103.56564138340744
204,103.48734182953433
205,103.35561667367638
206,103.58929004843985
207,103.49028239410761
208,103.35287386694723
209,103.35713668591893
210,103.34237103575099
211,103.30862077277884
212,103.20172409693886
213,103.25844495517472
214,103.20889738921355
215,103.06201576075544
216,103.17394838703609
217,102.99223050425807
218,102.69213777126524
219,103.09136229765161
220,102.68012009090741
221,102.9487471861123
222,102.56715583404893
223,102.79427764530185
224,102.66425298572791
225,102.9630682168503
226,102.83693866482912
227,102.99749341788917
228,102.85322394729062
229,102.89389533710086
230,103.16422447369447
231,103.01328474939204
232,103.06934350686343
233,102.87716502778922
234,102.69974716216652
235,102.93893909872804
236,102.81595613199116
237,102.85375950593563
238,102.9413489669966
239,102.94380095090246
240,103.00968913725728
241,103.16398009484612
242,103.12304201842372
243,103.41021190548469
244,103.08181962154283
245,103.22643459988207
246,103.12384331498146
247,103.04161404287726
248,102.5927272056027
249,102.67938154332388
250,102.63407616420871
251,102.82594408849397
252,102.80152124442088
